title,body,image,url
@jocoding,"AI 뉴스 - 어도비 MAX, 생각 읽는 AI, 현실 시뮬레이션, 달리 프롬프트 유출, 오픈AI 매출 공개 등",https://img.youtube.com/vi/PZjiiWvK8sU/0.jpg,https://www.youtube.com/watch?v=PZjiiWvK8sU
@jocoding,"하루 매출 1억 세이클럽, 350억 첫눈 엑싯, 5억 사용자 B612, 쉬운 딥러닝, 보이저엑스 창업 | 조코딩의 팟캐스트 #1 Part 1",https://img.youtube.com/vi/LeNe13HbEBw/0.jpg,https://www.youtube.com/watch?v=LeNe13HbEBw
@jocoding,"AI 뉴스 - 멀티모달 소름돋는 근황, GPT-4V급 오픈소스, AI 압축 알고리즘 발명, 딥페이크 논란, AI가 제작한 로봇, 자율주행 데이터 생성 등",https://img.youtube.com/vi/6ZSAhjPaIPQ/0.jpg,https://www.youtube.com/watch?v=6ZSAhjPaIPQ
@jocoding,"AI 뉴스 -  멀티모달 챗GPT 근황, AI 언어 정복, DALL·E 3 사용가능, 퀘스트3, VR 팟캐스트, 아마존 인공지능 5조 투자 등",https://img.youtube.com/vi/trhjHQzH6rk/0.jpg,https://www.youtube.com/watch?v=trhjHQzH6rk
@jocoding,"AI 뉴스 - DALL·E 3, 유튜브 AI, 윈도우 그림판 AI 탑재, 코파일럿 Chat, 심호흡하는 AI, 왓츠앱 대화 AI 등",https://img.youtube.com/vi/yfLoNR89LaE/0.jpg,https://www.youtube.com/watch?v=yfLoNR89LaE
@jocoding,"랭체인으로 수익형 AI 웹서비스 만들기 with ChatGPT, LLaMA 2, RAG",https://img.youtube.com/vi/EWKbZFqiCsE/0.jpg,https://www.youtube.com/watch?v=EWKbZFqiCsE
@jocoding,요즘 개발자 재택근무 근황,https://img.youtube.com/vi/10mAcOweBkU/0.jpg,https://www.youtube.com/watch?v=10mAcOweBkU
@jocoding,AI는 본인이 게임 속 NPC인지 알까??🤔 || 'Smart NPCs for Unreal Engine',https://img.youtube.com/vi/eHH2ajTtbsY/0.jpg,https://www.youtube.com/watch?v=eHH2ajTtbsY
@jocoding,"AI 뉴스 - 프론트엔드 종말, 3초 목소리 복제 TTS, 어도비 프리미어 AI, 제미니 출시 임박 등",https://img.youtube.com/vi/jW8zDf13mlk/0.jpg,https://www.youtube.com/watch?v=jW8zDf13mlk
@jocoding,"AI 뉴스 - 인간 복제 AI 논란, 일론 머스크 큰그림, 팔콘 180B 오픈소스, 애플 AI 하루 수십억 투자 등",https://img.youtube.com/vi/OHGjOT3FcJQ/0.jpg,https://www.youtube.com/watch?v=OHGjOT3FcJQ
@jocoding,요즘 난리난 TypeScript 퇴출 논란 ㄷㄷ 노드와 파이썬까지?!,https://img.youtube.com/vi/BBGE5NARkjc/0.jpg,https://www.youtube.com/watch?v=BBGE5NARkjc
@jocoding,내 서비스로 금융 대기업의 투자와 협업 기회를?! || 엔터플 싱커톤 시즌 3,https://img.youtube.com/vi/_8hHVXbKvDY/0.jpg,https://www.youtube.com/watch?v=_8hHVXbKvDY
@jocoding,"AI 뉴스 - 구글 GPT-4 5배 앞섰다, AI 코딩 효율, AI 워터마크, AI 만화 생성기 등",https://img.youtube.com/vi/a-ExbsbTKxE/0.jpg,https://www.youtube.com/watch?v=a-ExbsbTKxE
@jocoding,"심화되는 AI 저작권 논란, 미국 저작권청의 결정은?",https://img.youtube.com/vi/z9Vst07CX88/0.jpg,https://www.youtube.com/watch?v=z9Vst07CX88
@jocoding,"AI뉴스 - 오픈소스 GPT-4 앞섰다, AI 번역 최강자, 전화하는 AI, 허깅페이스 6조 등",https://img.youtube.com/vi/i92H8cOI8ZI/0.jpg,https://www.youtube.com/watch?v=i92H8cOI8ZI
